,Input,Action,Asset,Start,End
1452,Cancella la prenotazione di ufficio A per il giorno 19/03/2025 dalle 05:58 alle 10:58,cancella,ufficio A,2025-03-19T05:58:24.363Z,2025-03-19T10:58:24.363Z
1453,Cancella la prenotazione di sala riunioni per il giorno 06/01/2025 dalle 08:28 alle 11:28,cancella,sala riunioni,2025-01-06T08:28:24.363Z,2025-01-06T11:28:24.363Z
1454,Cancella la prenotazione di sala meeting per il giorno 17/03/2025 dalle 23:58 alle 06:58,cancella,sala meeting,2025-03-17T23:58:24.363Z,2025-03-18T06:58:24.363Z
1455,Prenota ufficio A per il giorno 16/02/2025 dalle 05:13 alle 11:13,prenota,ufficio A,2025-02-16T05:13:24.363Z,2025-02-16T11:13:24.363Z
1456,Prenota desk 18 per il giorno 03/02/2025 dalle 02:43 alle 07:43,prenota,desk 18,2025-02-03T02:43:24.363Z,2025-02-03T07:43:24.363Z
1457,Modifica la prenotazione di sala riunioni al giorno 01/04/2025 dalle 00:58 alle 02:58,modifica,sala riunioni,2025-04-01T00:58:24.363Z,2025-04-01T02:58:24.363Z
1458,Cancella la prenotazione di auditorium per il giorno 05/01/2025 dalle 07:58 alle 08:58,cancella,auditorium,2025-01-05T07:58:24.363Z,2025-01-05T08:58:24.363Z
1459,Cancella la prenotazione di desk 18 per il giorno 26/02/2025 dalle 09:13 alle 14:13,cancella,desk 18,2025-02-26T09:13:24.363Z,2025-02-26T14:13:24.363Z
1460,Prenota desk 18 per il giorno 04/03/2025 dalle 08:28 alle 14:28,prenota,desk 18,2025-03-04T08:28:24.363Z,2025-03-04T14:28:24.363Z
1461,Cancella la prenotazione di ufficio B per il giorno 21/02/2025 dalle 04:28 alle 12:28,cancella,ufficio B,2025-02-21T04:28:24.363Z,2025-02-21T12:28:24.363Z
1462,Prenota desk 18 per il giorno 30/03/2025 dalle 02:58 alle 10:58,prenota,desk 18,2025-03-30T02:58:24.363Z,2025-03-30T10:58:24.363Z
1463,Modifica la prenotazione di desk 40 al giorno 29/03/2025 dalle 04:43 alle 14:43,modifica,desk 40,2025-03-29T04:43:24.363Z,2025-03-29T14:43:24.363Z
1464,Cancella la prenotazione di sala meeting per il giorno 27/02/2025 dalle 03:13 alle 05:13,cancella,sala meeting,2025-02-27T03:13:24.363Z,2025-02-27T05:13:24.363Z
1465,Modifica la prenotazione di auditorium al giorno 08/02/2025 dalle 03:28 alle 08:28,modifica,auditorium,2025-02-08T03:28:24.363Z,2025-02-08T08:28:24.363Z
1466,Modifica la prenotazione di ufficio A al giorno 31/01/2025 dalle 08:28 alle 18:28,modifica,ufficio A,2025-01-31T08:28:24.363Z,2025-01-31T18:28:24.363Z
1467,Prenota ufficio B per il giorno 15/02/2025 dalle 03:28 alle 13:28,prenota,ufficio B,2025-02-15T03:28:24.363Z,2025-02-15T13:28:24.363Z
1468,Modifica la prenotazione di ufficio A al giorno 26/02/2025 dalle 02:58 alle 04:58,modifica,ufficio A,2025-02-26T02:58:24.363Z,2025-02-26T04:58:24.363Z
1469,Modifica la prenotazione di desk 40 al giorno 10/02/2025 dalle 07:58 alle 14:58,modifica,desk 40,2025-02-10T07:58:24.363Z,2025-02-10T14:58:24.363Z
1470,Modifica la prenotazione di ufficio B al giorno 12/02/2025 dalle 03:13 alle 10:13,modifica,ufficio B,2025-02-12T03:13:24.363Z,2025-02-12T10:13:24.363Z
1471,Cancella la prenotazione di ufficio B per il giorno 09/03/2025 dalle 06:43 alle 07:43,cancella,ufficio B,2025-03-09T06:43:24.363Z,2025-03-09T07:43:24.363Z
1472,Modifica la prenotazione di desk 18 al giorno 10/03/2025 dalle 12:43 alle 22:43,modifica,desk 18,2025-03-10T12:43:24.363Z,2025-03-10T22:43:24.363Z
1473,Cancella la prenotazione di auditorium per il giorno 28/03/2025 dalle 13:13 alle 18:13,cancella,auditorium,2025-03-28T13:13:24.363Z,2025-03-28T18:13:24.363Z
1474,Modifica la prenotazione di ufficio B al giorno 22/03/2025 dalle 13:13 alle 23:13,modifica,ufficio B,2025-03-22T13:13:24.363Z,2025-03-22T23:13:24.363Z
1475,Modifica la prenotazione di desk 18 al giorno 10/01/2025 dalle 07:43 alle 13:43,modifica,desk 18,2025-01-10T07:43:24.363Z,2025-01-10T13:43:24.363Z
1476,Cancella la prenotazione di auditorium per il giorno 02/02/2025 dalle 01:58 alle 08:58,cancella,auditorium,2025-02-02T01:58:24.363Z,2025-02-02T08:58:24.363Z
1477,Cancella la prenotazione di sala meeting per il giorno 11/01/2025 dalle 09:43 alle 16:43,cancella,sala meeting,2025-01-11T09:43:24.363Z,2025-01-11T16:43:24.363Z
1478,Cancella la prenotazione di desk 40 per il giorno 08/02/2025 dalle 09:43 alle 14:43,cancella,desk 40,2025-02-08T09:43:24.363Z,2025-02-08T14:43:24.363Z
1479,Modifica la prenotazione di ufficio B al giorno 02/02/2025 dalle 05:43 alle 07:43,modifica,ufficio B,2025-02-02T05:43:24.363Z,2025-02-02T07:43:24.363Z
1480,Prenota auditorium per il giorno 06/01/2025 dalle 02:58 alle 10:58,prenota,auditorium,2025-01-06T02:58:24.363Z,2025-01-06T10:58:24.363Z
1481,Cancella la prenotazione di ufficio B per il giorno 27/02/2025 dalle 05:28 alle 09:28,cancella,ufficio B,2025-02-27T05:28:24.363Z,2025-02-27T09:28:24.363Z
1482,Prenota sala meeting per il giorno 19/01/2025 dalle 23:58 alle 04:58,prenota,sala meeting,2025-01-19T23:58:24.363Z,2025-01-20T04:58:24.363Z
1483,Modifica la prenotazione di ufficio B al giorno 25/01/2025 dalle 09:28 alle 17:28,modifica,ufficio B,2025-01-25T09:28:24.363Z,2025-01-25T17:28:24.363Z
1484,Prenota sala riunioni per il giorno 13/01/2025 dalle 04:58 alle 06:58,prenota,sala riunioni,2025-01-13T04:58:24.363Z,2025-01-13T06:58:24.363Z
1485,Cancella la prenotazione di sala meeting per il giorno 29/03/2025 dalle 09:28 alle 16:28,cancella,sala meeting,2025-03-29T09:28:24.363Z,2025-03-29T16:28:24.363Z
1486,Modifica la prenotazione di desk 40 al giorno 20/01/2025 dalle 02:28 alle 12:28,modifica,desk 40,2025-01-20T02:28:24.363Z,2025-01-20T12:28:24.363Z
1487,Modifica la prenotazione di ufficio B al giorno 18/01/2025 dalle 07:58 alle 15:58,modifica,ufficio B,2025-01-18T07:58:24.363Z,2025-01-18T15:58:24.363Z
1488,Prenota auditorium per il giorno 20/03/2025 dalle 00:58 alle 06:58,prenota,auditorium,2025-03-20T00:58:24.363Z,2025-03-20T06:58:24.363Z
1489,Modifica la prenotazione di desk 18 al giorno 21/02/2025 dalle 11:43 alle 18:43,modifica,desk 18,2025-02-21T11:43:24.363Z,2025-02-21T18:43:24.363Z
1490,Prenota auditorium per il giorno 16/01/2025 dalle 01:43 alle 06:43,prenota,auditorium,2025-01-16T01:43:24.363Z,2025-01-16T06:43:24.363Z
1491,Cancella la prenotazione di ufficio A per il giorno 04/02/2025 dalle 12:28 alle 20:28,cancella,ufficio A,2025-02-04T12:28:24.378Z,2025-02-04T20:28:24.378Z
1492,Modifica la prenotazione di sala meeting al giorno 02/04/2025 dalle 00:58 alle 09:58,modifica,sala meeting,2025-04-02T00:58:24.378Z,2025-04-02T09:58:24.378Z
1493,Cancella la prenotazione di ufficio A per il giorno 31/03/2025 dalle 02:58 alle 05:58,cancella,ufficio A,2025-03-31T02:58:24.378Z,2025-03-31T05:58:24.378Z
1494,Cancella la prenotazione di ufficio A per il giorno 19/02/2025 dalle 12:58 alle 13:58,cancella,ufficio A,2025-02-19T12:58:24.378Z,2025-02-19T13:58:24.378Z
1495,Modifica la prenotazione di ufficio B al giorno 07/01/2025 dalle 12:28 alle 16:28,modifica,ufficio B,2025-01-07T12:28:24.378Z,2025-01-07T16:28:24.378Z
1496,Cancella la prenotazione di ufficio B per il giorno 21/02/2025 dalle 03:58 alle 05:58,cancella,ufficio B,2025-02-21T03:58:24.378Z,2025-02-21T05:58:24.378Z
1497,Modifica la prenotazione di desk 40 al giorno 02/02/2025 dalle 13:13 alle 20:13,modifica,desk 40,2025-02-02T13:13:24.378Z,2025-02-02T20:13:24.378Z
1498,Prenota ufficio A per il giorno 04/02/2025 dalle 03:28 alle 07:28,prenota,ufficio A,2025-02-04T03:28:24.378Z,2025-02-04T07:28:24.378Z
1499,Cancella la prenotazione di auditorium per il giorno 23/01/2025 dalle 14:13 alle 20:13,cancella,auditorium,2025-01-23T14:13:24.378Z,2025-01-23T20:13:24.378Z
1500,Modifica la prenotazione di ufficio A al giorno 07/01/2025 dalle 03:28 alle 11:28,modifica,ufficio A,2025-01-07T03:28:24.378Z,2025-01-07T11:28:24.378Z
1501,Cancella la prenotazione di desk 18 per il giorno 24/02/2025 dalle 13:58 alle 20:58,cancella,desk 18,2025-02-24T13:58:24.378Z,2025-02-24T20:58:24.378Z
1502,Prenota desk 40 per il giorno 23/01/2025 dalle 10:58 alle 19:58,prenota,desk 40,2025-01-23T10:58:24.378Z,2025-01-23T19:58:24.378Z
1503,Prenota sala meeting per il giorno 25/02/2025 dalle 08:58 alle 16:58,prenota,sala meeting,2025-02-25T08:58:24.378Z,2025-02-25T16:58:24.378Z
1504,Modifica la prenotazione di sala riunioni al giorno 09/01/2025 dalle 09:43 alle 17:43,modifica,sala riunioni,2025-01-09T09:43:24.378Z,2025-01-09T17:43:24.378Z
1505,Modifica la prenotazione di auditorium al giorno 03/01/2025 dalle 05:43 alle 10:43,modifica,auditorium,2025-01-03T05:43:24.378Z,2025-01-03T10:43:24.378Z
1506,Cancella la prenotazione di ufficio B per il giorno 13/01/2025 dalle 00:43 alle 04:43,cancella,ufficio B,2025-01-13T00:43:24.378Z,2025-01-13T04:43:24.378Z
1507,Modifica la prenotazione di desk 18 al giorno 27/03/2025 dalle 11:43 alle 21:43,modifica,desk 18,2025-03-27T11:43:24.378Z,2025-03-27T21:43:24.378Z
1508,Modifica la prenotazione di ufficio A al giorno 12/02/2025 dalle 07:13 alle 10:13,modifica,ufficio A,2025-02-12T07:13:24.378Z,2025-02-12T10:13:24.378Z
1509,Cancella la prenotazione di auditorium per il giorno 31/03/2025 dalle 08:58 alle 13:58,cancella,auditorium,2025-03-31T08:58:24.378Z,2025-03-31T13:58:24.378Z
1510,Prenota sala riunioni per il giorno 25/02/2025 dalle 04:43 alle 11:43,prenota,sala riunioni,2025-02-25T04:43:24.378Z,2025-02-25T11:43:24.378Z
1511,Cancella la prenotazione di desk 40 per il giorno 17/03/2025 dalle 02:28 alle 03:28,cancella,desk 40,2025-03-17T02:28:24.378Z,2025-03-17T03:28:24.378Z
1512,Modifica la prenotazione di desk 18 al giorno 22/03/2025 dalle 09:43 alle 11:43,modifica,desk 18,2025-03-22T09:43:24.378Z,2025-03-22T11:43:24.378Z
1513,Cancella la prenotazione di auditorium per il giorno 05/02/2025 dalle 10:43 alle 11:43,cancella,auditorium,2025-02-05T10:43:24.378Z,2025-02-05T11:43:24.378Z
1514,Cancella la prenotazione di ufficio B per il giorno 26/02/2025 dalle 08:58 alle 11:58,cancella,ufficio B,2025-02-26T08:58:24.378Z,2025-02-26T11:58:24.378Z
1515,Prenota sala meeting per il giorno 24/01/2025 dalle 08:28 alle 09:28,prenota,sala meeting,2025-01-24T08:28:24.378Z,2025-01-24T09:28:24.378Z
1516,Modifica la prenotazione di ufficio B al giorno 27/02/2025 dalle 12:13 alle 20:13,modifica,ufficio B,2025-02-27T12:13:24.378Z,2025-02-27T20:13:24.378Z
1517,Prenota auditorium per il giorno 29/01/2025 dalle 02:58 alle 07:58,prenota,auditorium,2025-01-29T02:58:24.378Z,2025-01-29T07:58:24.378Z
1518,Modifica la prenotazione di ufficio A al giorno 20/02/2025 dalle 02:13 alle 06:13,modifica,ufficio A,2025-02-20T02:13:24.378Z,2025-02-20T06:13:24.378Z
1519,Modifica la prenotazione di auditorium al giorno 08/02/2025 dalle 10:43 alle 17:43,modifica,auditorium,2025-02-08T10:43:24.378Z,2025-02-08T17:43:24.378Z
1520,Prenota ufficio A per il giorno 20/01/2025 dalle 23:58 alle 04:58,prenota,ufficio A,2025-01-20T23:58:24.378Z,2025-01-21T04:58:24.378Z
1521,Prenota ufficio B per il giorno 01/03/2025 dalle 13:43 alle 19:43,prenota,ufficio B,2025-03-01T13:43:24.378Z,2025-03-01T19:43:24.378Z
1522,Modifica la prenotazione di desk 18 al giorno 26/03/2025 dalle 06:28 alle 07:28,modifica,desk 18,2025-03-26T06:28:24.378Z,2025-03-26T07:28:24.378Z
1523,Cancella la prenotazione di auditorium per il giorno 13/02/2025 dalle 11:13 alle 15:13,cancella,auditorium,2025-02-13T11:13:24.378Z,2025-02-13T15:13:24.378Z
1524,Modifica la prenotazione di ufficio A al giorno 03/04/2025 dalle 05:58 alle 07:58,modifica,ufficio A,2025-04-03T05:58:24.378Z,2025-04-03T07:58:24.378Z
1525,Prenota ufficio B per il giorno 09/01/2025 dalle 23:58 alle 03:58,prenota,ufficio B,2025-01-09T23:58:24.378Z,2025-01-10T03:58:24.378Z
1526,Cancella la prenotazione di sala meeting per il giorno 21/03/2025 dalle 09:28 alle 10:28,cancella,sala meeting,2025-03-21T09:28:24.378Z,2025-03-21T10:28:24.378Z
1527,Cancella la prenotazione di ufficio B per il giorno 23/03/2025 dalle 05:58 alle 12:58,cancella,ufficio B,2025-03-23T05:58:24.378Z,2025-03-23T12:58:24.378Z
1528,Modifica la prenotazione di sala meeting al giorno 19/01/2025 dalle 13:28 alle 23:28,modifica,sala meeting,2025-01-19T13:28:24.378Z,2025-01-19T23:28:24.378Z
1529,Prenota sala meeting per il giorno 24/01/2025 dalle 08:13 alle 14:13,prenota,sala meeting,2025-01-24T08:13:24.378Z,2025-01-24T14:13:24.378Z
1530,Cancella la prenotazione di auditorium per il giorno 14/01/2025 dalle 05:13 alle 08:13,cancella,auditorium,2025-01-14T05:13:24.378Z,2025-01-14T08:13:24.378Z
1531,Cancella la prenotazione di sala riunioni per il giorno 11/02/2025 dalle 23:43 alle 07:43,cancella,sala riunioni,2025-02-11T23:43:24.378Z,2025-02-12T07:43:24.378Z
1532,Cancella la prenotazione di desk 18 per il giorno 18/02/2025 dalle 14:13 alle 19:13,cancella,desk 18,2025-02-18T14:13:24.378Z,2025-02-18T19:13:24.378Z
1533,Cancella la prenotazione di ufficio B per il giorno 05/02/2025 dalle 07:58 alle 14:58,cancella,ufficio B,2025-02-05T07:58:24.378Z,2025-02-05T14:58:24.378Z
1534,Prenota sala meeting per il giorno 06/03/2025 dalle 11:43 alle 20:43,prenota,sala meeting,2025-03-06T11:43:24.378Z,2025-03-06T20:43:24.378Z
1535,Modifica la prenotazione di desk 18 al giorno 27/02/2025 dalle 23:43 alle 02:43,modifica,desk 18,2025-02-27T23:43:24.378Z,2025-02-28T02:43:24.378Z
1536,Prenota auditorium per il giorno 26/01/2025 dalle 00:13 alle 05:13,prenota,auditorium,2025-01-26T00:13:24.378Z,2025-01-26T05:13:24.378Z
1537,Prenota desk 18 per il giorno 03/03/2025 dalle 05:28 alle 13:28,prenota,desk 18,2025-03-03T05:28:24.378Z,2025-03-03T13:28:24.378Z
1538,Prenota ufficio A per il giorno 17/02/2025 dalle 11:13 alle 19:13,prenota,ufficio A,2025-02-17T11:13:24.378Z,2025-02-17T19:13:24.378Z
1539,Cancella la prenotazione di sala riunioni per il giorno 21/01/2025 dalle 00:58 alle 02:58,cancella,sala riunioni,2025-01-21T00:58:24.378Z,2025-01-21T02:58:24.378Z
1540,Prenota desk 40 per il giorno 08/02/2025 dalle 01:43 alle 10:43,prenota,desk 40,2025-02-08T01:43:24.378Z,2025-02-08T10:43:24.378Z
1541,Cancella la prenotazione di ufficio B per il giorno 28/03/2025 dalle 08:43 alle 18:43,cancella,ufficio B,2025-03-28T08:43:24.378Z,2025-03-28T18:43:24.378Z
1542,Prenota ufficio B per il giorno 17/03/2025 dalle 02:13 alle 04:13,prenota,ufficio B,2025-03-17T02:13:24.378Z,2025-03-17T04:13:24.378Z
1543,Prenota desk 40 per il giorno 07/03/2025 dalle 09:28 alle 15:28,prenota,desk 40,2025-03-07T09:28:24.378Z,2025-03-07T15:28:24.378Z
1544,Prenota sala meeting per il giorno 31/03/2025 dalle 09:28 alle 16:28,prenota,sala meeting,2025-03-31T09:28:24.378Z,2025-03-31T16:28:24.378Z
1545,Cancella la prenotazione di ufficio B per il giorno 16/01/2025 dalle 12:58 alle 15:58,cancella,ufficio B,2025-01-16T12:58:24.378Z,2025-01-16T15:58:24.378Z
1546,Prenota sala riunioni per il giorno 02/03/2025 dalle 13:13 alle 21:13,prenota,sala riunioni,2025-03-02T13:13:24.378Z,2025-03-02T21:13:24.378Z
1547,Modifica la prenotazione di sala meeting al giorno 20/03/2025 dalle 09:28 alle 15:28,modifica,sala meeting,2025-03-20T09:28:24.378Z,2025-03-20T15:28:24.378Z
1548,Prenota desk 18 per il giorno 23/03/2025 dalle 06:58 alle 16:58,prenota,desk 18,2025-03-23T06:58:24.378Z,2025-03-23T16:58:24.378Z
1549,Prenota auditorium per il giorno 09/01/2025 dalle 11:58 alle 17:58,prenota,auditorium,2025-01-09T11:58:24.378Z,2025-01-09T17:58:24.378Z
1550,Prenota desk 18 per il giorno 12/01/2025 dalle 08:13 alle 10:13,prenota,desk 18,2025-01-12T08:13:24.378Z,2025-01-12T10:13:24.378Z
1551,Cancella la prenotazione di sala meeting per il giorno 25/01/2025 dalle 03:13 alle 05:13,cancella,sala meeting,2025-01-25T03:13:24.378Z,2025-01-25T05:13:24.378Z
1552,Prenota desk 40 per il giorno 29/01/2025 dalle 02:13 alle 09:13,prenota,desk 40,2025-01-29T02:13:24.378Z,2025-01-29T09:13:24.378Z
1553,Cancella la prenotazione di desk 18 per il giorno 27/03/2025 dalle 01:28 alle 06:28,cancella,desk 18,2025-03-27T01:28:24.378Z,2025-03-27T06:28:24.378Z
1554,Cancella la prenotazione di desk 40 per il giorno 27/02/2025 dalle 10:58 alle 20:58,cancella,desk 40,2025-02-27T10:58:24.378Z,2025-02-27T20:58:24.378Z
1555,Prenota sala meeting per il giorno 29/03/2025 dalle 00:58 alle 09:58,prenota,sala meeting,2025-03-29T00:58:24.378Z,2025-03-29T09:58:24.378Z
1556,Prenota ufficio A per il giorno 01/03/2025 dalle 14:13 alle 22:13,prenota,ufficio A,2025-03-01T14:13:24.378Z,2025-03-01T22:13:24.378Z
1557,Cancella la prenotazione di ufficio B per il giorno 20/03/2025 dalle 05:28 alle 12:28,cancella,ufficio B,2025-03-20T05:28:24.378Z,2025-03-20T12:28:24.378Z
1558,Cancella la prenotazione di ufficio B per il giorno 26/01/2025 dalle 06:13 alle 08:13,cancella,ufficio B,2025-01-26T06:13:24.378Z,2025-01-26T08:13:24.378Z
1559,Prenota ufficio B per il giorno 15/02/2025 dalle 06:43 alle 09:43,prenota,ufficio B,2025-02-15T06:43:24.378Z,2025-02-15T09:43:24.378Z
1560,Cancella la prenotazione di ufficio B per il giorno 24/03/2025 dalle 09:28 alle 14:28,cancella,ufficio B,2025-03-24T09:28:24.378Z,2025-03-24T14:28:24.378Z
1561,Cancella la prenotazione di ufficio A per il giorno 13/01/2025 dalle 14:13 alle 19:13,cancella,ufficio A,2025-01-13T14:13:24.378Z,2025-01-13T19:13:24.378Z
1562,Prenota auditorium per il giorno 31/03/2025 dalle 13:58 alle 17:58,prenota,auditorium,2025-03-31T13:58:24.378Z,2025-03-31T17:58:24.378Z
1563,Modifica la prenotazione di ufficio A al giorno 09/02/2025 dalle 08:28 alle 17:28,modifica,ufficio A,2025-02-09T08:28:24.378Z,2025-02-09T17:28:24.378Z
1564,Prenota sala riunioni per il giorno 09/03/2025 dalle 01:13 alle 08:13,prenota,sala riunioni,2025-03-09T01:13:24.378Z,2025-03-09T08:13:24.378Z
1565,Prenota ufficio A per il giorno 28/03/2025 dalle 10:58 alle 16:58,prenota,ufficio A,2025-03-28T10:58:24.378Z,2025-03-28T16:58:24.378Z
1566,Cancella la prenotazione di ufficio B per il giorno 13/01/2025 dalle 11:28 alle 13:28,cancella,ufficio B,2025-01-13T11:28:24.378Z,2025-01-13T13:28:24.378Z
1567,Modifica la prenotazione di desk 18 al giorno 03/03/2025 dalle 01:43 alle 08:43,modifica,desk 18,2025-03-03T01:43:24.378Z,2025-03-03T08:43:24.378Z
1568,Prenota sala riunioni per il giorno 25/02/2025 dalle 13:58 alle 19:58,prenota,sala riunioni,2025-02-25T13:58:24.378Z,2025-02-25T19:58:24.378Z
1569,Modifica la prenotazione di desk 18 al giorno 02/03/2025 dalle 12:13 alle 22:13,modifica,desk 18,2025-03-02T12:13:24.378Z,2025-03-02T22:13:24.378Z
1570,Cancella la prenotazione di sala meeting per il giorno 26/01/2025 dalle 02:43 alle 04:43,cancella,sala meeting,2025-01-26T02:43:24.378Z,2025-01-26T04:43:24.378Z
1571,Modifica la prenotazione di ufficio B al giorno 05/02/2025 dalle 12:28 alle 19:28,modifica,ufficio B,2025-02-05T12:28:24.378Z,2025-02-05T19:28:24.378Z
1572,Modifica la prenotazione di sala riunioni al giorno 03/01/2025 dalle 05:28 alle 06:28,modifica,sala riunioni,2025-01-03T05:28:24.378Z,2025-01-03T06:28:24.378Z
1573,Prenota desk 18 per il giorno 05/03/2025 dalle 07:13 alle 17:13,prenota,desk 18,2025-03-05T07:13:24.378Z,2025-03-05T17:13:24.378Z
1574,Modifica la prenotazione di ufficio A al giorno 10/02/2025 dalle 08:58 alle 15:58,modifica,ufficio A,2025-02-10T08:58:24.378Z,2025-02-10T15:58:24.378Z
1575,Cancella la prenotazione di sala riunioni per il giorno 19/01/2025 dalle 01:28 alle 05:28,cancella,sala riunioni,2025-01-19T01:28:24.378Z,2025-01-19T05:28:24.378Z
1576,Prenota desk 40 per il giorno 05/01/2025 dalle 10:43 alle 11:43,prenota,desk 40,2025-01-05T10:43:24.378Z,2025-01-05T11:43:24.378Z
1577,Prenota ufficio A per il giorno 27/03/2025 dalle 01:43 alle 08:43,prenota,ufficio A,2025-03-27T01:43:24.378Z,2025-03-27T08:43:24.378Z
1578,Modifica la prenotazione di desk 40 al giorno 12/03/2025 dalle 02:28 alle 07:28,modifica,desk 40,2025-03-12T02:28:24.378Z,2025-03-12T07:28:24.378Z
1579,Cancella la prenotazione di auditorium per il giorno 04/03/2025 dalle 05:28 alle 07:28,cancella,auditorium,2025-03-04T05:28:24.378Z,2025-03-04T07:28:24.378Z
1580,Prenota auditorium per il giorno 02/04/2025 dalle 07:13 alle 15:13,prenota,auditorium,2025-04-02T07:13:24.378Z,2025-04-02T15:13:24.378Z
1581,Prenota desk 40 per il giorno 01/03/2025 dalle 08:43 alle 12:43,prenota,desk 40,2025-03-01T08:43:24.378Z,2025-03-01T12:43:24.378Z
1582,Cancella la prenotazione di ufficio B per il giorno 21/02/2025 dalle 23:58 alle 00:58,cancella,ufficio B,2025-02-21T23:58:24.378Z,2025-02-22T00:58:24.378Z
1583,Prenota desk 18 per il giorno 27/02/2025 dalle 06:13 alle 16:13,prenota,desk 18,2025-02-27T06:13:24.378Z,2025-02-27T16:13:24.378Z
1584,Modifica la prenotazione di desk 18 al giorno 14/03/2025 dalle 03:28 alle 11:28,modifica,desk 18,2025-03-14T03:28:24.378Z,2025-03-14T11:28:24.378Z
1585,Cancella la prenotazione di ufficio A per il giorno 09/03/2025 dalle 09:13 alle 13:13,cancella,ufficio A,2025-03-09T09:13:24.378Z,2025-03-09T13:13:24.378Z
1586,Modifica la prenotazione di sala riunioni al giorno 11/03/2025 dalle 00:13 alle 10:13,modifica,sala riunioni,2025-03-11T00:13:24.378Z,2025-03-11T10:13:24.378Z
1587,Cancella la prenotazione di ufficio B per il giorno 11/01/2025 dalle 04:13 alle 12:13,cancella,ufficio B,2025-01-11T04:13:24.378Z,2025-01-11T12:13:24.378Z
1588,Prenota ufficio A per il giorno 23/03/2025 dalle 09:58 alle 17:58,prenota,ufficio A,2025-03-23T09:58:24.378Z,2025-03-23T17:58:24.378Z
1589,Modifica la prenotazione di ufficio A al giorno 05/01/2025 dalle 01:58 alle 05:58,modifica,ufficio A,2025-01-05T01:58:24.378Z,2025-01-05T05:58:24.378Z
1590,Cancella la prenotazione di sala meeting per il giorno 28/02/2025 dalle 02:43 alle 12:43,cancella,sala meeting,2025-02-28T02:43:24.378Z,2025-02-28T12:43:24.378Z
1591,Modifica la prenotazione di sala meeting al giorno 21/03/2025 dalle 13:13 alle 16:13,modifica,sala meeting,2025-03-21T13:13:24.378Z,2025-03-21T16:13:24.378Z
1592,Cancella la prenotazione di desk 18 per il giorno 21/02/2025 dalle 05:58 alle 13:58,cancella,desk 18,2025-02-21T05:58:24.378Z,2025-02-21T13:58:24.378Z
1593,Prenota ufficio B per il giorno 29/01/2025 dalle 03:28 alle 11:28,prenota,ufficio B,2025-01-29T03:28:24.378Z,2025-01-29T11:28:24.378Z
1594,Prenota auditorium per il giorno 28/01/2025 dalle 02:13 alle 04:13,prenota,auditorium,2025-01-28T02:13:24.378Z,2025-01-28T04:13:24.378Z
1595,Cancella la prenotazione di ufficio A per il giorno 10/02/2025 dalle 02:43 alle 11:43,cancella,ufficio A,2025-02-10T02:43:24.378Z,2025-02-10T11:43:24.378Z
1596,Prenota sala riunioni per il giorno 17/02/2025 dalle 13:58 alle 19:58,prenota,sala riunioni,2025-02-17T13:58:24.378Z,2025-02-17T19:58:24.378Z
1597,Modifica la prenotazione di auditorium al giorno 25/01/2025 dalle 12:28 alle 14:28,modifica,auditorium,2025-01-25T12:28:24.378Z,2025-01-25T14:28:24.378Z
1598,Cancella la prenotazione di ufficio A per il giorno 17/01/2025 dalle 08:43 alle 10:43,cancella,ufficio A,2025-01-17T08:43:24.378Z,2025-01-17T10:43:24.378Z
1599,Modifica la prenotazione di auditorium al giorno 06/03/2025 dalle 03:58 alle 09:58,modifica,auditorium,2025-03-06T03:58:24.378Z,2025-03-06T09:58:24.378Z
1600,Prenota desk 40 per il giorno 15/03/2025 dalle 03:43 alle 12:43,prenota,desk 40,2025-03-15T03:43:24.378Z,2025-03-15T12:43:24.378Z
1601,Modifica la prenotazione di desk 18 al giorno 16/01/2025 dalle 10:28 alle 18:28,modifica,desk 18,2025-01-16T10:28:24.378Z,2025-01-16T18:28:24.378Z
1602,Cancella la prenotazione di desk 40 per il giorno 17/01/2025 dalle 00:28 alle 09:28,cancella,desk 40,2025-01-17T00:28:24.378Z,2025-01-17T09:28:24.378Z
1603,Prenota ufficio B per il giorno 16/01/2025 dalle 01:28 alle 05:28,prenota,ufficio B,2025-01-16T01:28:24.378Z,2025-01-16T05:28:24.378Z
1604,Cancella la prenotazione di auditorium per il giorno 09/02/2025 dalle 11:13 alle 20:13,cancella,auditorium,2025-02-09T11:13:24.378Z,2025-02-09T20:13:24.378Z
1605,Cancella la prenotazione di desk 18 per il giorno 15/01/2025 dalle 01:58 alle 07:58,cancella,desk 18,2025-01-15T01:58:24.378Z,2025-01-15T07:58:24.378Z
1606,Prenota sala riunioni per il giorno 28/01/2025 dalle 07:13 alle 08:13,prenota,sala riunioni,2025-01-28T07:13:24.378Z,2025-01-28T08:13:24.378Z
1607,Prenota desk 40 per il giorno 04/03/2025 dalle 04:58 alle 13:58,prenota,desk 40,2025-03-04T04:58:24.378Z,2025-03-04T13:58:24.378Z
1608,Prenota sala riunioni per il giorno 06/02/2025 dalle 05:13 alle 11:13,prenota,sala riunioni,2025-02-06T05:13:24.378Z,2025-02-06T11:13:24.378Z
1609,Modifica la prenotazione di desk 18 al giorno 03/02/2025 dalle 02:13 alle 06:13,modifica,desk 18,2025-02-03T02:13:24.378Z,2025-02-03T06:13:24.378Z
1610,Prenota desk 40 per il giorno 26/02/2025 dalle 06:13 alle 14:13,prenota,desk 40,2025-02-26T06:13:24.378Z,2025-02-26T14:13:24.378Z
